CustomerKey,GeographyKey,CustomerAlternateKey,Title,FirstName,MiddleName,LastName,NameStyle,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,SpanishEducation,FrenchEducation,EnglishOccupation,SpanishOccupation,FrenchOccupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CommuteDistance
11000,26,AW00011000,NULL,Jon,V,Yang,0,10/6/1971,M,NULL,M,jon24@adventure-works.com,90000,2,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,0,3761 N. 14th St,NULL,1 (11) 500 555-0162,1/19/2011,1-2 Miles
11001,37,AW00011001,NULL,Eugene,L,Huang,0,5/10/1976,S,NULL,M,eugene10@adventure-works.com,60000,3,3,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,1,2243 W St.,NULL,1 (11) 500 555-0110,1/15/2011,0-1 Miles
11002,31,AW00011002,NULL,Ruben,NULL,Torres,0,2/9/1971,M,NULL,M,ruben35@adventure-works.com,60000,3,3,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,1,5844 Linden Land,NULL,1 (11) 500 555-0184,1/7/2011,2-5 Miles
11003,11,AW00011003,NULL,Christy,NULL,Zhu,0,8/14/1973,S,NULL,F,christy12@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,1,1825 Village Pl.,NULL,1 (11) 500 555-0162,12/29/2010,5-10 Miles
11004,19,AW00011004,NULL,Elizabeth,NULL,Johnson,0,8/5/1979,S,NULL,F,elizabeth5@adventure-works.com,80000,5,5,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,4,7553 Harness Circle,NULL,1 (11) 500 555-0131,1/23/2011,1-2 Miles
11005,22,AW00011005,NULL,Julio,NULL,Ruiz,0,8/1/1976,S,NULL,M,julio1@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,1,7305 Humphrey Drive,NULL,1 (11) 500 555-0151,12/30/2010,5-10 Miles
11006,8,AW00011006,NULL,Janet,G,Alvarez,0,12/2/1976,S,NULL,F,janet9@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,1,2612 Berry Dr,NULL,1 (11) 500 555-0184,1/24/2011,5-10 Miles
11007,40,AW00011007,NULL,Marco,NULL,Mehta,0,11/6/1969,M,NULL,M,marco14@adventure-works.com,60000,3,3,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,2,942 Brook Street,NULL,1 (11) 500 555-0126,1/9/2011,0-1 Miles
11008,32,AW00011008,NULL,Rob,NULL,Verhoff,0,7/4/1975,S,NULL,F,rob4@adventure-works.com,60000,4,4,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,3,624 Peabody Road,NULL,1 (11) 500 555-0164,1/25/2011,10+ Miles
11009,25,AW00011009,NULL,Shannon,C,Carlson,0,9/29/1969,S,NULL,M,shannon38@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,1,3839 Northgate Road,NULL,1 (11) 500 555-0110,1/27/2011,5-10 Miles
11010,22,AW00011010,NULL,Jacquelyn,C,Suarez,0,8/5/1969,S,NULL,F,jacquelyn20@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,1,7800 Corrinne Court,NULL,1 (11) 500 555-0169,1/14/2011,5-10 Miles
11011,22,AW00011011,NULL,Curtis,NULL,Lu,0,5/3/1969,M,NULL,M,curtis9@adventure-works.com,60000,4,4,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,4,1224 Shoenic,NULL,1 (11) 500 555-0117,12/30/2010,10+ Miles
11012,611,AW00011012,NULL,Lauren,M,Walker,0,1/14/1979,M,NULL,F,lauren41@adventure-works.com,100000,2,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,4785 Scott Street,NULL,717-555-0164,3/16/2013,1-2 Miles
11013,543,AW00011013,NULL,Ian,M,Jenkins,0,8/3/1979,M,NULL,M,ian47@adventure-works.com,100000,2,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,3,7902 Hudson Ave.,NULL,817-555-0185,4/13/2013,0-1 Miles
11014,634,AW00011014,NULL,Sydney,NULL,Bennett,0,11/6/1973,S,NULL,F,sydney23@adventure-works.com,100000,3,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,0,3,9011 Tank Drive,NULL,431-555-0156,3/23/2013,1-2 Miles
11015,301,AW00011015,NULL,Chloe,NULL,Young,0,8/26/1984,S,NULL,F,chloe23@adventure-works.com,30000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,1,244 Willow Pass Road,NULL,208-555-0142,1/18/2013,5-10 Miles
11016,329,AW00011016,NULL,Wyatt,L,Hill,0,10/25/1984,M,NULL,M,wyatt32@adventure-works.com,30000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,1,9666 Northridge Ct.,NULL,135-555-0171,2/9/2013,5-10 Miles
11017,39,AW00011017,NULL,Shannon,NULL,Wang,0,12/24/1949,S,NULL,F,shannon1@adventure-works.com,20000,4,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,7330 Saddlehill Lane,NULL,1 (11) 500 555-0195,1/12/2011,5-10 Miles
11018,32,AW00011018,NULL,Clarence,D,Rai,0,10/6/1955,S,NULL,M,clarence32@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,2,244 Rivewview,NULL,1 (11) 500 555-0137,1/17/2011,5-10 Miles
11019,52,AW00011019,NULL,Luke,L,Lal,0,9/4/1983,S,NULL,M,luke18@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,7832 Landing Dr,NULL,262-555-0112,2/12/2013,5-10 Miles
11020,53,AW00011020,NULL,Jordan,C,King,0,3/19/1984,S,NULL,M,jordan73@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,7156 Rose Dr.,NULL,550-555-0163,12/29/2012,1-2 Miles
11021,536,AW00011021,NULL,Destiny,NULL,Wilson,0,3/2/1984,S,NULL,F,destiny7@adventure-works.com,40000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,1,8148 W. Lake Dr.,NULL,622-555-0158,1/23/2013,1-2 Miles
11022,609,AW00011022,NULL,Ethan,G,Zhang,0,4/10/1984,M,NULL,M,ethan20@adventure-works.com,40000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,1,1769 Nicholas Drive,NULL,589-555-0185,1/20/2013,5-10 Miles
11023,298,AW00011023,NULL,Seth,M,Edwards,0,4/9/1984,M,NULL,M,seth46@adventure-works.com,40000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,1,4499 Valley Crest,NULL,452-555-0188,2/17/2013,1-2 Miles
11024,311,AW00011024,NULL,Russell,NULL,Xie,0,3/16/1984,M,NULL,M,russell7@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,8734 Oxford Place,NULL,746-555-0186,6/27/2013,5-10 Miles
11025,24,AW00011025,NULL,Alejandro,NULL,Beck,0,6/22/1951,M,NULL,M,alejandro45@adventure-works.com,10000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,2596 Franklin Canyon Road,NULL,1 (11) 500 555-0178,1/6/2011,1-2 Miles
11026,4,AW00011026,NULL,Harold,NULL,Sai,0,10/1/1951,S,NULL,M,harold3@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,0,2,8211 Leeds Ct.,NULL,1 (11) 500 555-0131,1/23/2011,1-2 Miles
11027,40,AW00011027,NULL,Jessie,R,Zhao,0,6/5/1952,M,NULL,M,jessie16@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,2,213 Valencia Place,NULL,1 (11) 500 555-0184,1/16/2011,5-10 Miles
11028,17,AW00011028,NULL,Jill,NULL,Jimenez,0,10/9/1951,M,NULL,F,jill13@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,2,9111 Rose Ann Ave,NULL,1 (11) 500 555-0116,1/26/2011,1-2 Miles
11029,32,AW00011029,NULL,Jimmy,L,Moreno,0,6/19/1952,M,NULL,M,jimmy9@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,2,6385 Mark Twain,NULL,1 (11) 500 555-0146,1/19/2011,1-2 Miles
11030,28,AW00011030,NULL,Bethany,G,Yuan,0,2/18/1958,M,NULL,F,bethany10@adventure-works.com,10000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,636 Vine Hill Way,NULL,1 (11) 500 555-0182,2/5/2011,1-2 Miles
11031,8,AW00011031,NULL,Theresa,G,Ramos,0,2/18/1953,M,NULL,F,theresa13@adventure-works.com,20000,4,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,6465 Detroit Ave.,NULL,1 (11) 500 555-0195,2/1/2011,1-2 Miles
